titles,released,developers,publishers,id,summary,storyline,genres
25 To Life,2006,Avalanche Software,Eidos Interactive,5714,"25 To Life is a third-person shooter video game. Set in a modern environment, the game allows the player to play as both a cop and a gangster, at different times, in a ""cops and robbers"" style game. The game can be played online with up to 16 players using the network adaptor for the PS2 and through Xbox Live for Microsoft's Xbox, and there is online play for the PC version as well. In addition, the game features a variety of hip hop songs playing in the background. The name of the game comes from a typical ""indeterminate life sentence"" that is often given in the United States upon a defendant's conviction for a violent felony. See the article on parole for more information.",,[5]
3D Ultra Minigolf,2007,Wanako Games,Sierra On-Line,136087,,,[33]
3-D Ultra Pinball,1995,Dynamix,Sierra On-Line,50472,"The original 3-D Ultra Pinball game was released in 1995. This game is based on the space simulation game, Outpost.  There are three tables named Colony, Command Post, and Mine and each table holds a set of five challenges. Smaller ""mini-tables"" are featured with their own set of flippers. The goal is to build and launch a Starship completing the game's entire course.",,[30]
3D Body Adventure,1995,Knowledge Adventure,Levande Böcker,129505,3-D Body Adventureis an educational video game about the human body.,,[2]
428: Shibuya Scramble,2018,Spike Chunsoft,Spike Chunsoft,95069,"A kidnapping on the streets of Shibuya brings together a hot-blooded detective, hard-hitting journalist, former gang leader, the head researcher of a big pharma manufacturer and a part-timer stuck in cat costume for a series of events each more unexpected and outrageous than the last.",,"[31, 34]"
4x4 EVO 2,2001,Terminal Reality,Gathering of Developers,5715,"Professional drivers get paid by winning races and in career mode so do you. Win fast money and deck out your truck from over 125 upgrades like performance shocks, race tires, brush guards, roll bars, snorkels, working winches and performance exhaust to increase vehicle power and speed.",,"[10, 13, 14]"
4x4 Evolution,2000,Terminal Reality,Gathering of Developers,584,"4x4 Evolution is a racing game featuring real-life pickup trucks and SUV's. Actual trucks from manufacturers such as Chevrolet, Ford, Dodge, Nissan, Toyota and more are included.  The actual racing game is based very heavily on Terminal Reality's Monster Truck Madness series of games, except with SUV's instead of monster trucks.  One significant feature of 4x4 Evo is the online multi-player option. The Dreamcast, PC, and Macintosh versions can compete against each other in 4 player online races.",,[10]
5,2008,Ram,Visual Art's,847,"Resident Evil 5 places you into the shoes of fan favorite, Chris Redfield. You are joined by Sheva Alomar, an African special agent tasked with investigating the epidemic which has broken out in Africa - a new bio-terrorism threat which is transforming the people and animals of the city into mindless, maddened creatures.","The Umbrella Corporation and its crop of lethal viruses have been destroyed and contained. But a new, more dangerous threat has emerged. Years after surviving the events in Raccoon City, Chris Redfield has been fighting the scourge of bio-organic weapons all over the world. Now a member of the Bioterrorism Security Assessment Alliance (BSAA), Chris is sent to Africa to investigate a biological agent that is transforming the populace into aggressive and disturbing creatures. Joined by another local BSAA agent, Sheva Alomar, the two must work together to solve the truth behind the disturbing turn of events.","[5, 31]"
6180 the moon,2014,PokPoong GamesTurtle Cream,Turtle Cream,11435,"6180 the moon is a platformer game with a unique mechanic. It offers a fresh, unseen gameplay style by connecting the top and bottom of the screen. This allows in a mechanic with delightfully long jumps and no fear of 'slipping' to death.  In addition to the unique gameplay, 6180 the moon delivers a unique storyline. The Sun has gone. The Moon sets off on a journey to find the Sun. Along the journey will be hazardous courses and deep realizations.  This game was co-created by South Korea's Indie Game Studios, Turtle Cream and PokPoong Games. The fantastic music was provided by Merry Go Sound.",,"[7, 8, 9, 31, 32, 33]"
7 Sins,2005,Monte Cristo,Digital Jesters,19805,"7 Sins is a life simulation that will immerse you in a world in which you must claw your way to the top of the social ladder, all the while making decisions that relate to the seven deadly sins.",,[13]
7 Wonders of the Ancient World,2007,Hot Lava Games,MumboJumbo,4629,"Players take the task of reconstructing the 7 Wonders of the Ancient World. In each wonder, there are 5 to 7 sub-levels of runes that players switch to form a row of 3 or more runes.There are two modes of play: Free Play and Quest Modes. In Free Play, players can choose to play any level they have completed in Quest Mode.",,"[9, 15]"
The 7th Guest,1993,Trilobyte,Virgin Games,323,"The 7th Guest is a horror adventure described as “the first Interactive Drama”, with plentiful pre-rendered 3D graphics, live action video clips, and an original, orchestrated musical score. Even though it was one of the first games on a CD, it broke the record of 2 million copies sold in 1993, and was considered an epoch-making achievement of the gaming industry. To this day the FMV sequences and 3D graphics look amazing, the atmosphere (orchestrated music!) is dense, the puzzles remain difficult and the experience as a whole is completely horrifying.","Henry Stauf was a master toymaker and his eerie mansion was the greatest of his creations. It stands empty, abandoned years ago, rotting ever since the children started dying, ever since the six guests were here. Now, you are in the house, moving from one room to another, trying to remember and trying to forget. The mansion of horror comes to life again and only you can end the nightmare and learn the secret of the 7th guest.","[2, 9, 31]"
80 Days,2005,Frogwares,Frogwares,68859,"Continuing in the footsteps of his uncle Philias Fogg, Oliver Lavisheart, an adventurous youth, agrees to travel around the world in 80 days or less in order to win a bet made by his uncle. The young man must locate and provide proof of the existence of 4 incredible machines that have been hidden in the four corners the world.",,"[2, 31]"
9: The Last Resort,1996,Tribeca Interactive,GT Interactive,92783,9: The Last Resort is a surreal point-and-click adventure game in which you have just inherited a large mansion and have to get rid of the 9 evil muses that have taken it over.,"The player character has just inherited a hotel, The Last Resort, belonging to their deceased uncle, Thurston Last. The hotel is inhabited by nine muses. As the player character enters the hotel, it becomes clear that it is no longer a hospitable place. Its wacky inhabitants live in fear of a pair of squatters known as the Toxic Twins. Only the aeroplane-man Salty is brave enough to wander around and talk to the player character. The player's goal is to reconstruct The Muse Machine and banish the Toxic Twins.","[2, 31]"
A-10 Cuba!,1996,Parsoft Interactive,Activision,94518,,,[]
A Game of Thrones: Genesis,2011,Cyanide,Focus Home Interactive,15058,"A Game of Thrones - Genesis"" immerses you into the heart of the battles and intrigues between the Houses that shaped the Kingdom of Westeros. From Nymeria's arrival in the Kingdom of Dorne to the awakening of the ""Others"" beyond the Wall, you'll live the origins of A Game of Thrones saga through more than 1000 years of history, by taking part in Westeros' founding events and largest battles.In this great strategy game, victory does not necessarily result from brute force. You can choose to use a military approach and besiege your opponents, strangle them in an economical war, or even use dirty tricks and diplomacy to politically crush them. Treachery and deception are everywhere and can be more efficient than the most powerful army. So watch your back and show no mercy if you want to keep sat on the Iron Throne.",,"[11, 15]"
A New Beginning,2010,Daedalic Entertainment,Deep Silver,7147,"A New Beginning is a cinematic, interactive adventure-thriller that deals with the defining issue of our time. In a story ripped from today’s headlines, an impending global climate cataclysm threatens the world. At locations all around the globe, players will have to try and stem the tide – with the whole world hanging in the balance.Scientist Bent Svensson has had to give up on his life’s work of trying to bring an eco-friendly alternative energy source to reality. But his existence as a reluctant retiree is interrupted by a very strange visitor: The young Fay claims to have been sent from the future to prevent an impending environmental catastrophe. The only remaining hope is Bent’s research which is about to fall into the hands of an unscrupulous energy magnate. Bent decides to trust the young woman – but could she really be telling the truth?In A New Beginning, players take control of the two protagonists and explore the detailed, hand-painted backgrounds in classic point-and-click style. The more than 50 characters are rendered in a striking graphic-novel style and are painstakingly animated by hand in feature-film quality.Features:The masterpiece from the makers of The Whispered World and Edna & Harvey: The BreakoutA mature adventure-thriller that deals with the defining issue of our timesThe greatest 2D adventure game of all time: More than 100 backgrounds, over 20 hours of gameplay, 52 voiced charactersUnique graphic novel art style with more than 40 minutes of animated comic book cutscenes",,"[2, 31]"
A Virus Named TOM,2012,Misfits Attic,Misfits Attic,3040,"An Action-puzzler. The puzzle comes from rearrange circuits to spread the virus. The Action comes from dodging anti-virus drones while doing it. It's one of the few puzzle games out there where you can play co-operatively (with up to 3 friends). But if you tire of working together, there is a battle mode where you can take on your friends to see who is the supreme virus.","A perfect place. A city without traffic. A dog that doesn't poop. All products of the brilliant mind of Dr. X, but hell hath no fury like a mad scientist fired by a giant corporation. In this unique action-puzzler you take control of TOM, a virus created for one purpose: revenge.","[9, 15, 32, 33]"
A2 Racer,1997,Davilex Games,Davilex Games,92803,"A game where you can race over the most infamous freeway in the Netherlands: the A2. In A2 Racer, you join a band of illegal streetracers whose only goal is to get from A to B as fast as possible. You must weave your way through the regular traffic on the A2, grabbing power-ups like fuel, money and time and making sure the police can't catch you. Be sure to be #1 in this game, for the rest are considered losers.",,[10]
ABC Sports Indy Racing,1997,Shot Sports Software,ABC Interactive,78574,A PC Indy Racing game.,,[10]
Abomination: The Nemesis Project,1999,Hothouse Creations,Eidos Interactive,71602,Abomination is a squad-based real time action game for the PC developed in 1999 by Hothouse creations,,[15]
Ace Online,2006,MasangSoft,Yedang,174917,,,"[12, 31]"
Ace Ventura,1996,7th Level,Bomico Entertainment Software,4586,"Wouldn’t it be cool if there was a world where people actually paid you to hang out with beautiful women and rescue kidnapped animals? Where ugly tropical shirts were still in fashion? Where obnoxious behavior was admired and even rewarded? Well, my jungle friends, there is. It’s the word of Ace Ventura, and only a loo-OOO-ooo-ooo-ser would NOT go in there.",,"[2, 9, 31]"
Aces of the Galaxy,2008,Artech Studios,Sierra Online,15766,"3, 2, 1 Blast-Off! Launch yourself into the intense space-shooter Aces of the Galaxy™  A non-stop, old-school arcade thrill-ride for the 21st century and beyond. Utilize an impressive arsenal of upgradeable weapons including high powered missile launchers, devastating torpedoes and the ever-reliant chain gun to annihilate the ships of the wretched Skurgian Empire.",,[5]
Achtung Spitfire!,1997,Big Time Software,Avalon Hill,86015,"In the summer of 1940, a Reich meant to last a Thousand Years confronted an Empire Upon Which the Sun Did Not Set. One magnificent weapon, first conceived as a private venture in 1934, proved decisive. In the skies over London, and in the years to follow, a shout of ""Achtung - Spitfire!"" was invariably followed by shattering losses.",,[16]
Act of War: Direct Action,2005,Eugen Systems,Atari,587,"Act of War: Direct Action is a highly realistic, near future real-time strategy game, set against the backdrop of a conflict that threatens to permanently change the face of our world. Created in conjunction with US Air Force captain (ret.) Dale Brown, author of 14 New York Times best-sellers, this techno-thriller game puts you in control of Task Force Talon, a direct action team put together to defend cities around the globe. With the ultimate in authentic modern day weaponry, vehicles and intelligence at your disposal, no other game puts you in better control of tomorrow's war!",,"[11, 15]"
Act of War: High Treason,2006,Eugen Systems,Atari,9339,"Act of War: High Treason is the thrilling continuation of Act of War: Direct Action. With its fast-paced, action-packed and well-balanced gameplay, extensive tech tree and amazing visuals, this ultra-realistic modern military real-time strategy game is sure to be a welcome addition to any RTS fan's shelf.  With naval combat, expanded tech trees and a massive new single-player campaign, High Treason contains hundreds of hours of intense RTS gameplay.  Control the ultimate in cutting-edge military technology and units in this first look at tomorrow's war.",,"[11, 15]"
Active Worlds,1995,"ActiveWorlds, Inc.",,66993,Active Worlds is a 3D virtual reality chat-build environment that started in 1995 and is the precursor to There and Second Life.,,"[12, 13]"
Activision Anthology,2002,MacPlay,Activision,71690,"Activision Anthology is a collection of classic Atari 2600 titles as well as extra items including new gameplay modes for each game, trivia, originally released patches/updates, 3D views of the cartridges, the original manuals and much more. The game comes with licensed eighties music tracks. It contains 45 games.    The content is quite similar to Activision Hits Remixed (PSP), but unlike the GBA version and Activision Anthology: Remix Edition (PC/Mac), it doesn't include the homebrew titles. The following games are included:     Atlantis,   Barnstorming,   Beamrider,   Boxing,   Bridge,   Checkers,   Chopper Command,   Commando,   Cosmic Commuter,   Crackpots,   Decathlon (The Activision Decathlon),   Demon Attack,   Dolphin,   Dragster,   Enduro,   Fishing Derby,   Freeway,   Frostbite,   Grand Prix,   H.E.R.O.,   Ice Hockey,   Kabobber (previously unreleased),   Kaboom!,   Keystone Kapers,   Laser Blast,   Moonsweeper,   Megamania,   Oink!,   Pitfall!,   Pitfall II: Lost Caverns,   Plaque Attack,   Pressure Cooker,   Private Eye,   River Raid,   River Raid II,   Robot Tank,   Seaquest,   Skiing,   Sky Jinks,   Space Shuttle,   Spider Fighter,   Stampede,   Starmaster,   Tennis,   Thwocker (previously unreleased)","Activision Anthology is a collection of classic Atari 2600 titles as well as extra items including new gameplay modes for each game, trivia, originally released patches/updates, 3D views of the cartridges, the original manuals and much more. The game comes with licensed eighties music tracks. It contains 45 games.  The content is quite similar to Activision Hits Remixed (PSP), but unlike the GBA version and Activision Anthology: Remix Edition (PC/Mac), it doesn't include the homebrew titles. The following games are included:    Atlantis   Barnstorming   Beamrider   Boxing   Bridge   Checkers   Chopper Command   Commando   Cosmic Commuter   Crackpots   Decathlon (The Activision Decathlon)   Demon Attack   Dolphin   Dragster   Enduro   Fishing Derby   Freeway   Frostbite   Grand Prix   H.E.R.O.   Ice Hockey   Kabobber (previously unreleased)   Kaboom!   Keystone Kapers   Laser Blast   Moonsweeper   Megamania   Oink!   Pitfall!   Pitfall II: Lost Caverns   Plaque Attack   Pressure Cooker   Private Eye   River Raid   River Raid II   Robot Tank   Seaquest   Skiing   Sky Jinks   Space Shuttle   Spider Fighter   Stampede   Starmaster   Tennis   Thwocker (previously unreleased)","[10, 13, 14, 15, 33]"
Actua Ice Hockey,1998,Gremlin Interactive,Gremlin Interactive,68964,An Ice Hockey game from the Actua Sports franchise. It has a sequel which was released in 1999.,,[14]
Actua Pool,1999,Gremlin Interactive,Gremlin Interactive,122734,,,[]
Addiction Pinball,1998,Team17,Microprose,69860,Addiction Pinball features two fully featured pinball tables based on other Team17 games Worm's and Ralley Fever. There are a variety of different minigames that can be played on the Pinball screen which are triggered through different events on the Pinball table.,,[30]
Adrift,2015,Three One Zero,505 Games,36387,"Design and play your own floating islands in the sky! Choose your terrain, add loot, and build challenges for your players.  Submit your designs for the chance to see them in the final game for everyone to discover. You create the Worlds Adrift!",,[13]
Advent Rising,2005,GlyphX Games,Majesco Entertainment,5716,"Advent Rising is a story driven science fiction third person action adventure game developed by GlyphX Games. Written by author Orson Scott Card and published by Majesco Entertainment. Advent Rising started as a trilogy, but due to poor critical reception and poor sells the sequels were cancelled.  There was a PSP title in the works called ""Advent Shadow"" that was also cancelled. Due to an epic story and fun gameplay, Advent Rising has acquired a cult following and is considered and underrated classic by fans.","You are Gideon Wyeth, one of the last remaining humans. An alien race called the Seekers are hell bent on destroying the human race. After earth is destroyed you take refuge with an ally alien race called Aurelians. The Aurelians aid and train you to fight the Seekers. You are humanities last hope.","[5, 31]"
Adventure Pinball: Forgotten Island,2001,Digital Extremes,Electronic Arts,7549,"It starts when you receive a note and map from your long lost grandfather, along with the promise of the adventure of a lifetime. You'll encounter dinosaurs, volcanoes, and man-eating sharks, as well as a tribe of cavemen to save. Your mission is to save the Forgotten Island.There are 9 interconnected tables included for you to conquer. They have to be unlocked during the game and offer 2 or 3 settings per table. In comparison to most other pinball simulations the goals on a table are mostly not to get a high score but to solve missions like chasing away sharks. Also unusual are the 3D graphics: instead of a static top-down view the camera follows the pinball ball.",,[30]
The Adventures of Fatman,2003,Socko! Entertainment,Socko! Entertainment,34651,"You are Fatman - the heroic crime fighter for the city of Shadowlawn. It is up to you, then, to tear yourself away from food long enough to save the city from certain destruction...",,"[31, 32]"
The Adventures of Lomax,1996,Psygnosis,Psygnosis,7663,"Lomax is in way over his head. Evil Ed has nabbed his pals and tricked them into doing diabolical deeds. Only Lomax has the power to break the sinister hex! Leap into action with Lomax as he battles Ed's evildoers and travels through bizarre lands in this fast and frantic thriller!  Features:  -Over 40 levels of zooming action. -4 exotic landscapes with fantastic animated effects. -Dash in and out of platforms up to 10 layers deep. -Conquer tons of enemies, bats, zombies, blowfish and more.",,"[8, 31]"
Adventures of Pip,2015,TicToc Games,TicToc Games,14681,"Play as the ultimate digital underdog in the Adventures of Pip,an action-platformer with a fresh gameplay twist inside a retro 32-bit world. Alas, Pip is an unlikely 1-pixel hero yet has the unique ability to absorb the pixels of his defeated enemies to evolve into three different forms. Players will skillfully switch between these three forms while exploring five worlds on an epic 10-hour campaign to defeat the Skeleton Queen. Adventures of Pip features a soundtrack by Jake “virt” Kaufman, composer for Shantae and the Pirates Curse, Bloodrayne: Betrayal, Shovel Knight, and more. The game will be available in June 2015 on Steam (PC/MAC), Nintendo WiiU, and coming soon to Xbox One, and PS4.",,"[8, 9, 31, 32, 33]"
AdvertCity,2015,VoxelStorm,VoxelStorm,35360,"A cyberpunk advertising tycoon game. Explore a massive procedural city, and plaster your adverts all over it. Float around cyberspace and post links online. Watch the economy of the city evolve with the effects of your decisions.",,"[13, 15, 32]"
Africa Trail,1995,MECC,The Learning Company,93262,,,[]
Afterlife,1996,LucasArts,LucasArts,117202,Witness a tragic death in a family; explore each member’s grief through seamlessly integrated narrative storylines in live-action 360 VR.,,[32]
Agatha Christie: And Then There Were None,2005,AWE Productions,The Adventure Company,4663,"Agatha Christie's world famous novel, And Then There Were None, is brought to the PC with all of its original baffling suspense!  Ten people, strangers to each other, are invited to a lavish estate on an island. Through a recording, their mysterious host accuses each of his 'guests' of murder and proceeds to exact 'justice.' The tension mounts as, one-by-one, the number of people are reduced through the ingenious plotting of the unseen killer. Prepare to play the video game based on the Bestselling Murder Mystery of All-Time!",,[31]
Agatha Christie: Evil Under the Sun,2007,AWE Productions,The Adventure Company,4664,"Famous detective Hercule Poirot is back in typical style, turning up at just the right time to begin an investigation into the murder of a famous actress during what should have been the start of a relaxing holiday. Taking on the role of Hercule Poirot, players can scour a stunning tropical island for clues and delve deeper into the mysterious relationships between over 20 unique characters to search out the killer...",,[31]
Agatha Christie: Murder on the Orient Express,2006,AWE Productions,The Adventure Company,20636,"The world-famous mystery novel Murder on the Orient Express by Agatha Christie, comes alive in this all-new exciting video game adaptation. Murder on the Orient Express is filled with spectacular twists-and-turns and also includes a surprise ending that is different from the original novel.  Aboard the historic Orient Express, as Antoinette, a new character introduced in the game, you must help the famous Belgian detective Hercule Poirot solve the puzzling murder of Mr. Ratchett. Is the victim really who he claimed to be? What motive would any of the passengers have that would bring them to commit this heinous crime?  It's up to YOU to find out!",,"[2, 31]"
Age of Booty,2008,Certain Affinity,Capcom,9948,"Set in the swashbuckling era, Age of Booty is a casual real-time multiplayer strategy game that puts players at the helm of their own pirate ship with the goal of sending your enemies to the briny deep, and looting and capturing towns for your pirate faction.In Age of Booty, players team up with other online players or AI-controlled pirate ships to raid, pillage, sink, and destroy their way to dominance on the high seas. Spoils of war and booty are used to upgrade and customize pirate ships to make them even more deadly as players take on 25 unique challenges and seven of the most devious Pirate Alliances on the high seas. Gain notoriety and fame by climbing the online leader boards. Create and share custom maps using the intuitive map creation system.",,"[11, 15, 33]"
Age of Chivalry,2007,Team Chivalry,,18910,"Age of Chivalry is a mod of Half-Life 2 by Team Chivalry. Almost every aspect of the original game is modified in order to create a fun, story-driven multiplayer experience set in a fantasy world in the medieval ages. Age of Chivalry features a fast paced first person melee combat system that will take the player to a new level of immersion.",,"[4, 32]"
Age of Conan: Hyborian Adventures,2008,Funcom,Funcom,270,"Based on the events and characters of Robert E. Howard's Conan the Cimmerian stories, Age of Conan: Hyborian Adventures is a fantasy themed massively-multiplayer online role-playing game (MMORPG) that immerses players in a dark, expansive universe filled with ground-breaking brutal combat, dangerously intoxicating magical abilities, and the social and cooperative game features that MMORPG players crave.Set in the later years of Conan's life, after he has famously become king by his own hand, the game centers around the fragile state of Conan's rule in Aquilonia. Surrounded by enemies and hostile nations, Conan's rule hangs by a thread and in the end, it's up to players, either singly or backed by their guilds to turn the tide for or against the embattled king.Massively Multiplayer Gaming for the Adult Player: One of the most highly anticipated MMORPGs in recent years due to the strength and familiarity of the Conan franchise across a variety of major media, Age of Conan: Hyborian Adventures is the first of several releases planned for the franchise, all of which are aimed at an adult audience. Firmly rooted in the savage, bloody, violent and sexy Hyborian universe, players can expect a graphically beautiful game blended with gritty gameplay that is true to both the barbarian hero from Howard?s writings and the Schwarzenegger influenced version from books, movies and comics.Available Cultures and Classes: Although Age of Conan contains a wide range of peoples, its playable cultures are currently limited to Aquilonians, Cimmerians, and Stygians. Within each of these players can choose from a selection of archetypal character classes, although available classes and subsequent subclasses are not necessarily the same within each culture. For example, archetypal classes for Aquilonians and Cimmerians are Rogue, Priest and Soldier, while Stygians are represented by Rogue, Priest and Mage. Further differences exist within subclasses for each. See the basic breakdown of all three cultures below:Aquilonians: Internally divided, but united against their barbarian neighbors, the Aquilonians live lives on the edge. Their kingdom, with its prosperous cities, enlightened culture and religious freedom, is known as the ""Flower of the West."" Yet for all this and despite the power of King, Conan I, it is a land where culture clashes and unrest are always a threat.Cimmerians: As the Hyborian Age comes to an end the northern barbarian clans of the Cimmerians know that the end of their time is drawing near too. King Conan I of Aquilonia is himself a Cimmerian, though not typical of his people. Although his life has been filled with wanderlust, his Kin care nothing for what occurs outside their clan territories.Stygians: Masters of the magical arts and ruled by their consuming worship of the serpent-god Set, the Stygians excel at occult and diabolic lore. They learned long ago that true power lies in knowledge and in pacts with dark powers. This single-mindedness has allowed them become the only culture to harness the secrets of the Mage class and power that comes with it.Modes Singleplayer as well as Multiplayer: Unlike most MMORPGs, Age of Conan: Hyborian Adventures includes a significant singleplayer experience as well as deep overarching multiplayer gameplay. This is an atypical MMORPG feature, but one that has a purpose. Players enter the game as a lowly galley slave with no memory of his/her past, and over the first five to 20 levels of singleplayer action build the skills necessary to survive in the game's multiplayer levels. During this time you will traverse a variety of rich environments including jungles, deserts, mountains, valleys, dungeons and cities packed with NPCs, beasts and monsters, before eventually leveling up and moving back to your chosen culture?s homeland. Because the only character-related choices that players have to make at the game?s opening are their looks, clothing and culture, this singleplayer mode is important in deciding what class and subclass to pursue and thus the level of impact your character will have in greater multiplayer portions of the game.In-game levels 20 and above are strictly multiplayer. 20-40 introduce players to guilds. 40-60 deal with large scale combat. 60-80 have the player interacting with King Conan and levels 80 and up represent end-game play. Here gameplay changes as social aspects of MMORPG gameplay take over on a large scale.Real-time Combat That Takes Queues from the FPS: Traditionally MMORPGs have utilized a mix of auto and turn-based functionality in their combat systems, but Age of Conan dispenses with that, instead drawing inspiration from FPS/action games. Firmly rooted in the brutality of the Hyborian universe, game developer Funcom has devised an action-based system that not only provides the sense of actually being in the fight, but also requires the player to participate in it. That means no simple targeted attacks. Players can attack and defend from nearly any position in real-time, whether on the ground or atop a mount, while standing still or on the move. It?s a recipe for carnage and one that fits right into the world of Conan.The combat system in Age of Conan comes in three forms: drunken brawling, mini games like CTF and massive Player vs. Player battles, which lets you engage in siege combat to defend or attack a city. All are easy to learn, but difficult to master, providing hours worth of play and replay value and are the core of this new cutting edge MMORPG.",,"[12, 31]"
