titles,released,developers,publishers
NCAA College Football 2K3,07-08-2002,Avalanche Software,Sega
NCAA Final Four 2001,18-12-2000,989 Sports,Sony Computer Entertainment
NCAA Final Four 2002,12-11-2001,989 Sports,Sony Computer Entertainment
NCAA Final Four 2003,27-11-2002,989 Sports,Sony Computer Entertainment
NCAA Final Four 2004,11-11-2003,989 Sports,Sony Computer Entertainment
NCAA Football 06,11-07-2005,EA Tiburon,Electronic Arts
NCAA Football 07,18-07-2006,EA Tiburon,Electronic Arts
NCAA Football 08,17-07-2007,EA Tiburon,Electronic Arts
NCAA Football 09,15-07-2008,EA Tiburon,Electronic Arts
NCAA Football 10,14-07-2009,EA Tiburon,Electronic Arts
NCAA Football 11,13-07-2010,EA Tiburon,Electronic Arts
NCAA Football 2002,23-07-2001,EA Tiburon,EA Sports
NCAA Football 2003,20-07-2002,EA Tiburon,EA Sports
NCAA Football 2004,16-07-2003,EA Tiburon,EA Sports
NCAA Football 2005,15-07-2004,EA Tiburon,Electronic Arts
NCAA Gamebreaker 2001,18-12-2000,989 Sports,Sony Computer Entertainment
NCAA Gamebreaker 2003,14-08-2002,989 Sports,Sony Computer Entertainment
NCAA Gamebreaker 2004,27-08-2003,989 Sports,Sony Computer Entertainment
NCAA March Madness 06,11-10-2005,EA Canada,EA Sports
NCAA March Madness 07,17-01-2007,EA Canada,EA Sports
NCAA March Madness 08,11-12-2007,EA Canada,EA Sports
NCAA March Madness 2002,07-01-2002,NuFX,EA Sports
NCAA March Madness 2003,21-11-2002,NuFX,EA Sports
NCAA March Madness 2004,17-11-2003,NuFX,EA Sports
NCAA March Madness 2005,17-11-2004,EA Canada,EA Sports
Need for Speed: Carbon,31-10-2006,EA Canada,Electronic Arts
Need For Speed: Hot Pursuit 2,02-10-2002,EA Black Box,EA Games
Need for Speed: Most Wanted,15-11-2005,EA Canada,Electronic Arts
Need for Speed: ProStreet,13-11-2007,EA Black Box,Electronic Arts
Need for Speed: Undercover,17-11-2008,Exient Entertainment,Electronic Arts
Need for Speed: Underground,17-11-2003,EA Black Box,Electronic Arts
Need for Speed: Underground 2,15-11-2004,EA Black Box,Electronic Arts
Negima!? 3-Jikanme ~Koi to Mahou to Sekaiju Densetsu~,16-11-2006,Konami,Konami
Negima!? Dream Tactic Yumemiru Otome Princess,26-04-2007,Konami,Konami
The Neko-Mura no Ninnin Pagu Daikan no Akugyou Sanmai•Simple 2000 Series Vol. 116: The Neko-Mura no Ninnin – Pagu Daikan no Akugyou SanmaiJP,12-04-2007,Vingt-et-un Systems,D3 Publisher
Neo Angelique,04-03-2006,Koei,Koei
Neo Angelique Full Voice,27-03-2008,Koei,Koei
Neo Atlus III,14-12-2000,Artdink,Artdink
Neo Contra,19-10-2004,Konami,Konami
NeoGeo Battle Coliseum,22-12-2005,SNK Playmore,"SNK PlaymoreAU,JP,NA, Ignition EntertainmentEU"
Neopets: The Darkest Faerie,16-11-2005,Idol Minds,Sony Computer Entertainment
Neppachi Gold: CR Monster Mansion,22-08-2002,Daikoku Denki,Daikoku Denki
Net de Bomberman,19-02-2004,Hudson Soft,Hudson Soft
Netsu Chu! Pro Yakyū 2002,18-04-2002,Namco,Namco
Netsu Chu! Pro Yakyū 2003,03-04-2003,Namco,Namco
Netsu Chu! Pro Yakyū 2003: Aki no Night Matsuri,23-10-2003,Namco,Namco
Netsu Chu! Pro Yakyū 2004,25-03-2004,Namco,Namco
Nettai Teikiatsu Shoujo,25-10-2007,NIne'sFox,NIne'sFox
Never7: The End of Infinity,26-06-2003,KID,KID
Neverland Kenkyūfu,12-10-2006,Neverland,Idea Factory
New Jinsei Game,02-12-2004,Atlus,Takara
New Roommania: Porori Seishun,20-03-2003,Sega,Sega
New York Race,23-11-2001,Kalisto Entertainment,Wanadoo Edition
Next Generation Tennis•Roland Garros French Open 2002FR,28-05-2002,Wanadoo Edition,Wanadoo Edition
Next Generation Tennis 2003•Roland Garros 2003 French OpenFR,21-05-2003,Wanadoo Edition,Wanadoo Edition
NFL Blitz 20-02,06-02-2001,Midway Games,Midway Games
NFL Blitz 20-03,12-08-2002,Midway Games,Midway Games
NFL 2K2•Sega Sports NFL 2K2JP,19-11-2001,Visual Concepts,Sega
NFL 2K3,12-08-2002,Visual Concepts,Sega
NFL Blitz Pro,28-10-2003,Midway Games,Midway Games
NFL GameDay 2001,13-11-2000,989 Studios,Sony Computer Entertainment
NFL GameDay 2002,03-12-2001,989 Studios,Sony Computer Entertainment
NFL GameDay 2003,12-08-2002,989 Studios,Sony Computer Entertainment
NFL GameDay 2004,27-08-2003,989 Studios,Sony Computer Entertainment
NFL Head Coach,20-06-2006,EA Tiburon,EA Sports
NFL QB Club 2002,05-09-2001,Acclaim Studios Austin,Acclaim Entertainment
NFL Street,13-01-2004,EA Tiburon,EA Sports
NFL Street 2,22-12-2004,EA Tiburon,EA Sports
NFL Street 3,14-11-2006,EA Tiburon,EA Sports
NHL 06,06-09-2005,EA Canada,EA Sports
NHL 07,12-09-2006,EA Montreal,EA Sports
NHL 08,11-09-2007,HB Studios,EA Sports
NHL 09,04-11-2008,HB Studios,EA Sports
NHL 2001,25-10-2000,EA Canada,EA Sports
NHL 2002,24-09-2001,EA Canada,EA Sports
NHL 2003,30-09-2002,EA Canada,EA Sports
NHL 2004,22-09-2003,EA Canada,EA Sports
NHL 2005,20-09-2004,EA Canada,EA Sports
NHL 2K10,15-09-2009,Take-Two Interactive,2K Sports
NHL 2K3,10-11-2002,Treyarch,Sega
NHL 2K6,07-09-2005,Kush Games,2K Sports
NHL 2K7,02-10-2006,Kush Games,2K Sports
NHL 2K8,10-09-2007,Kush Games,2K Sports
NHL 2K9,08-09-2008,Take-Two Interactive,"2K SportsEU,NA, SpikeJP"
NHL FaceOff 2001,05-02-2001,989 Sports,Sony Computer Entertainment
NHL FaceOff 2003,05-11-2002,989 Sports,Sony Computer Entertainment
NHL Hitz 20-02,24-09-2001,Black Box Games,Midway Games
NHL Hitz 20-03,16-09-2002,Black Box Games,Midway Games
NHL Hitz Pro,25-09-2003,Next Level Games,Midway Games
NHRA Championship Drag Racing,14-09-2005,Lucky Chicken,ValuSoft
NHRA Drag Racing: Countdown to the Championship 2007,24-07-2007,Pipeworks Studios,THQ
"Ni Hao, Kai-Lan: Super Game Day",26-10-2009,Take-Two Interactive,Take-Two Interactive
Nichibeikan Pro Yakyū: Final League,25-04-2002,SquareSoft,SquareSoft
Nicktoons: Attack of the Toybots,23-10-2007,Blue Tongue Entertainment,THQ
Nicktoons: Battle for Volcano Island•SpongeBob and Friends: Battle for Volcano IslandPAL,24-10-2006,Blue Tongue Entertainment,THQ
Nicktoons Movin'•SpongeBob SquarePants Movin' with FriendsEU,21-10-2004,Mass Media Games,THQ
Nicktoons Unite!•SpongeBob SquarePants & Friends: Unite!EU,26-10-2005,Blue Tongue Entertainment,THQ
Night Wizard the Video Game: Denial of the World,28-02-2008,5pb,5pb
The Nightmare of Druaga: Fushigino Dungeon•The Nightmare of Druaga: Fushigi no DungeonJP,29-07-2004,Arika,"ArikaJP, NamcoNA"
Nights into Dreams,21-02-2008,Sonic Team,Sega
"Nightshade•KunoichiAS,JP,KO",02-12-2003,Wow Entertainment,Sega
Nihon Sumo Kyokai Kounin: Nihon Oozumou Gekitou Honbashohen,11-07-2002,Konami,Konami
Ninja Assault,12-09-2002,Namco,Namco
Ninjabread Man,14-10-2005,Data Design Interactive,Metro3D
Ninkyouden: Toseinin Ichidaiki,02-03-2006,Genki,Genki
Nippon Oozumou Kakutouhen,15-11-2001,Konami,Konami
Nishikaze no Kyoushikyouku: The Rhapsody of Zephyr,29-01-2004,SoftMax,Marvelous Entertainment
Nitrobike,14-10-2008,Left Field Productions,Ubisoft
Noble Racing,10-03-2006,Midas Interactive Entertainment,Midas Interactive Entertainment
Nobunaga no Yabou Online,12-06-2003,Koei,Koei
Nobunaga no Yabou Online: Haten no Shou (Expansion),13-12-2006,Koei,[Koei
Nobunaga no Yabou Online: Souha no Shou (Expansion),26-03-2008,Koei,Koei
Nobunaga no Yabou Online: Tappi no Shou (Expansion),15-12-2004,Koei,Koei
Nobunaga no Yabou: Ranseiki•Nobunaga no Yabou: Ranseiki with Power-Up KitJP,04-04-2002,Koei,Koei
Nobunaga no Yabou: Soutenroku•Nobunaga no Yabou: Soutenroku with Power-Up KitJP,30-01-2003,Koei,Koei
Nobunaga Senki,03-06-2004,Global A,Global A
Nobunaga's Ambition: Iron Triangle•Nobunaga no Yabou: KakushinJP•Nobunaga no Yabou: Kakushin with Power-Up KitJP,02-02-2006,Koei,Koei
Nobunaga's Ambition: Rise to Power•Nobunaga no Yabou: Tenka SouseiJP•Nobunaga no Yabou: Tenka Sousei with Power-Up KitJP,01-04-2004,Koei,Koei
Nodame Cantabile,19-07-2007,Banpresto,Banpresto
Noddy and the Magic Book,13-10-2006,Neko Entertainment,The Game Factory
"Nogizaka Haruka no Himitsu Cosplay, Hajime Mashita",25-09-2008,ASCII Media Works,ASCII Media Works
The Noroi no Game•Simple 2000 Series Vol. 92: The Noroi no GameJP,08-12-2005,HuneX,D3 Publisher
North Wind: Eien no Yakusoku,28-04-2005,Datam Polystar,Datam Polystar
NPPL Championship Paintball 2009•The Millenium European Paintball Series: Championship Paintball 2009PAL,18-11-2008,Sand Grain Studios,Activision
NRA Gun Club,02-10-2006,Crave Entertainment,Crave Entertainment
Nuga-Cel!,30-07-2009,Lupinus,Idea Factory
Nurse Witch Komugi-Chan Magical te,26-02-2004,KID,KID
Obliterate,21-04-2006,Phoenix Games,Phoenix Games
ObsCure,01-10-2004,Hydravision Entertainment,"MicroïdsEU, DreamCatcher InteractiveNA"
Obscure: The Aftermath•Obscure IIPAL,07-09-2007,Hydravision Entertainment,"Playlogic EntertainmentPAL, Ignition EntertainmentNA"
Ocean Commander,07--2007,CyberPlanet Interactive,Phoenix Games
The Ochimusha – Doemu Samurai Toujou•Simple 2000 Series Vol. 118: The Ochimusha – Doemu Samurai ToujouJP,31-05-2007,Tamsoft,D3 Publisher
Odin Sphere,17-05-2007,Vanillaware,"AtlusJP,KO,NA, Square EnixPAL"
Oekaki Puzzle•SuperLite 2000 Puzzle: Oekaki PuzzleJP,11-09-2003,Success,Success
Offroad Extreme!,07--2007,Phoenix Games,Phoenix Games
Ojousama Kumikyoku: Sweet Concert,26-04-2007,Pionesoft,Pionesoft
Okage: Shadow King•Boku to MaouJP,15-03-2001,"Zener Works, Sony Computer Entertainment",Sony Computer Entertainment
Ōkami,20-04-2006,Clover Studio,Capcom
Ōokuki,05-06-2008,Global A,Global A
Omoi no Kakera: Close to,24-07-2003,KID,KID
Omoide ni Kawaru-Kimi: Memories Off,28-11-2002,KID,KID
One Piece Grand Adventure,29-08-2006,Ganbarion,Namco Bandai Games
One Piece Grand Battle!•One Piece Grand Battle! RushJP,17-03-2005,Ganbarion,Bandai
One Piece Grand Battle! 3,11-12-2003,Ganbarion,Bandai
One Piece: Pirates' Carnival,23-11-2005,h.a.n.d.,Bandai
One Piece: Round the Land•One Piece Land LandJP,23-11-2005,Artdink,Bandai
The Onēchanbara 2•Simple 2000 Series Vol. 90: The Onēchanbara 2JP,22-12-2005,Tamsoft,D3 Publisher
Oni,29-01-2001,Bungie,Rockstar Games
"Onimusha 2: Samurai's Destiny•Onimusha 2JP,KO",07-03-2002,Capcom,Capcom
"Onimusha 3: Demon Siege•Onimusha 3EU,JP,KO",26-02-2004,Capcom,Capcom
Onimusha Blade Warriors•Onimusha BuraidenJP,27-11-2003,Capcom,Capcom
"Onimusha: Dawn of Dreams•Shin Onimusha: Dawn of DreamsJP,KO",26-01-2006,Capcom Production Studio 2,Capcom
Onimusha: Warlords•OnimushaJP,25-01-2001,Capcom,Capcom
Online Pro Wrestling,06-05-2004,Yuke's,Yuke's
Only You,31-10-2002,AliceSoft,GeneX
Onmyou Taisenki: Byakko Enbu,31-03-2005,Matrix Software,Bandai
Onmyou Taisenki: Hasha no In,23-06-2005,Matrix Software,Bandai
The Onna Okappichi Torimonochou – Oharuchan Go Go Go!•Simple 2000 Series Vol. 114: The Onna Okappichi Torimonochou – Oharuchan Go Go Go!JP,22-02-2007,Tamsoft,D3 Publisher
Open Season,19-09-2006,Ubisoft,Ubisoft
Operation Air Assault,25-02-2005,InterActive Vision Games,Midas Interactive Entertainment
Operation Air Assault 2,08-06-2007,Naps Team,Midas Interactive Entertainment
The Operative: No One Lives Forever,16-04-2002,Monolith Productions,Sierra Entertainment
Orange Honey: Boku wa Kimi ni Koishiteru,26-04-2007,guyzware,Marvelous Entertainment
Orange Pocket: Root,28-04-2004,Hooksoft,Pionesoft
Ore no Shita de Agake,21-06-2007,HuneX,D3 Publisher
Orega Kantoku Da! Gekitou Pennant Race,22-11-2000,Enix,Enix
Orega Kantoku Da! Volume 2,07-03-2002,Enix,Enix
Oretachi Game Center Zoku: Akumajou Dracula,25-05-2006,Hamster Corporation,Hamster Corporation
Oretachi Game Center Zoku: BurgerTime,27-10-2005,Hamster Corporation,Hamster Corporation
Oretachi Game Center Zoku: Contra,25-05-2006,Hamster Corporation,Hamster Corporation
Oretachi Game Center Zoku: Crazy Climber,21-07-2005,Hamster Corporation,Hamster Corporation
Oretachi Game Center Zoku: Karate Dou,21-07-2005,Hamster Corporation,Hamster Corporation
Oretachi Game Center Zoku: Moon Cresta,21-07-2005,Hamster Corporation,Hamster Corporation
Oretachi Game Center Zoku: Nekketsu Kouka Kunio-Kun,26-01-2006,Hamster Corporation,Hamster Corporation
Oretachi Game Center Zoku: Nekketsu Koukou Dodge Ball Bu,23-03-2006,Hamster Corporation,Hamster Corporation
Oretachi Game Center Zoku: Pooyan,25-05-2006,Hamster Corporation,Hamster Corporation
Oretachi Game Center Zoku: Quarth,26-01-2006,Hamster Corporation,Hamster Corporation
Oretachi Game Center Zoku: Rabio Lepus,23-03-2006,Hamster Corporation,Hamster Corporation
Oretachi Game Center Zoku: Scramble,21-07-2005,Hamster Corporation,Hamster Corporation
Oretachi Game Center Zoku: Sonic Wings,21-07-2005,Hamster Corporation,Hamster Corporation
Oretachi Game Center Zoku: Super Volleyball,27-10-2005,Hamster Corporation,Hamster Corporation
Oretachi Game Center Zoku: Terra Cresta,27-10-2005,Hamster Corporation,Hamster Corporation
Oretachi Game Center Zoku: Thunder Cross,08-02-2007,Hamster Corporation,Hamster Corporation
Oretachi Game Center Zoku: Time Pilot,21-07-2005,Hamster Corporation,Hamster Corporation
Oretachi Game Center Zoku: Trio the Punch,08-02-2007,Hamster Corporation,Hamster Corporation
Oretachi Game Center Zoku: Yie Ar Kung Fu,27-10-2005,Hamster Corporation,Hamster Corporation
Orphen: Scion of Sorcery•Sorcerous Stabber OrphenJP,03-08-2000,Shade,"Kadokawa GamesJP, ActivisionEU,NA"
Oshiete! Popotan,11-03-2004,Success,Kadokawa Games
Osouji Sentai Clean Keeper H,01-10-2009,Lupinus,Idea Factory
Othello•SuperLite 2000 Table: OthelloJP,31-07-2003,Success,Success
The Otoko Tachi no Kijū Houza•Simple 2000 Series Vol. 100: The Otoko Tachi no Kijū HouzaJP,29-06-2006,Opus,D3 Publisher
Otome no Jijou,28-09-2006,Nine'sFox,Nine'sFox
Otome wa Boku ni Koishiteru,29-12-2005,Alchemist,Alchemist
Otometeki Koi Kakumei * Love Revo!!,26-01-2006,HuneX,Interchannel
Otona no Gal Jan 2,23-11-2005,Jaleco,Jaleco
Otona no Gal Jan: Kimi ni Hane Man,18-12-2003,Pacific Century Cyber Works,Pacific Century Cyber Works
Otostaz,30-05-2002,Sony Computer Entertainment,Sony Computer Entertainment
Ougon Kishi Garo,20-04-2006,Bitstep,Bandai
Ouka,25-05-2006,Pionesoft,Pionesoft
Ouran Koukou Host-Bu,19-04-2007,Design Factory,Idea Factory
Outlaw Golf,21-11-2003,Hypnotix,TDK Mediactive
Outlaw Golf 2,25-11-2004,Hypnotix,Global Star Software
Outlaw Tennis,26-07-2005,Hypnotix,Global Star Software
Outlaw Volleyball Remixed,08-04-2004,Hypnotix,"TDK MediactiveEU, Global Star SoftwareNA"
OutRun 2006: Coast 2 Coast,31-03-2006,Sumo Digital,Sega
OutRun2 SP Special Tours,08-02-2007,Sumo Digital,Sega
Over the Hedge,09-05-2006,Edge of Reality,Activision
Over the Monochrome Rainbow featuring Shogo Hamada,19-03-2003,Opera House,Sony Music Entertainment
P.T.O. IV: Pacific Theater of Operations•Teitoku no Ketsudan IVJP,28-03-2002,Koei,Koei
Pac-Man Fever,02-09-2002,Mass Media Games,Namco
Pac-Man World 2,24-02-2002,Namco,"NamcoJP,NA, Sony Computer EntertainmentEU"
Pac-Man World 3,15-11-2005,Blitz Games,Namco
Pac-Man World Rally,22-08-2006,Smart Bomb Interactive,Namco Bandai Games
Pachi-Slot Aruze Oukoku 6,13-12-2001,Aruze,Aruze
Pachi-Slot Aruze Oukoku 7,08-08-2002,Aruze,Aruze
Pachi-Slot Club Collection: IM Juggler EX – Juggler Selection,22-02-2007,Commseed,Commseed
Pachi-Slot Club Collection: Pachi-Slot Dayo Koumon Chama,17-11-2005,Commseed,Commseed
Pachi-Slot Higurashi no Naku Koro ni Matsuri,22-04-2010,Alchemist,Alchemist
Pachi-Slot Kanzen Kouryaku: Gigazone,17-10-2002,Syscom,Syscom
Pachi-Slot Kanzen Kouryoku: Onihama Bakusou Gurentai: Gekitou-Hen,30-06-2005,Success,Success
Pachi-Slot Kanzen Kouryoku: Slot Genjin,30-11-2006,Success,Success
Pachi-Slot King! Kagaku Ninja-Tai Gatchaman,22-02-2007,Banpresto,Banpresto
Pachi-Slot Nobunaga no Yabou: Tenka Sousei,30-03-2006,Koei,Koei
Pachi-Slot Toukon Denshou,13-05-2004,Success,Success
Pachi-Slot Winning Post,28-07-2005,Koei,Koei
Pachinko de Yūbou! Fever Dodeka Saurus,02-05-2002,ICS,ICS
Pachinko Kamen Rider: Shocker Zenmetsu Daisakusen,21-02-2008,Hack Berry,Hack Berry
Pachinko Kaou: Misora Hibari,21-03-2007,Hack Berry,Hack Berry
Pachinko Mitokoumon: Pachitte Chonmage Tatsujin 9,27-10-2005,Hack Berry,Hack Berry
PachiPara 12: Ooumi to Natsu no Omoide,15-12-2005,Irem,Irem
PachiPara 13: Super Umi to Pachi-Pro Fūunroku,26-10-2006,Irem,Irem
PachiPara 14: Fū to Kumo to Super Umi in Okinawa,26-07-2007,Irem,Irem
Pachitte Chonmage Tatsujin 10: Pachinko Fuyu no Sonata,25-01-2007,Hack Berry,Hack Berry
Pachitte Chonmage Tatsujin 12: Pachinko Ultraman,24-05-2007,Hack Berry,Hack Berry
Pachitte Chonmage Tatsujin 13: Pachinko Hissatsu Shigotojin III,22-11-2007,Hack Berry,Hack Berry
Pachitte Chonmage Tatsujin 15: Pachinko Fuyu no Sonata 2,25-12-2008,Hack Berry,Hack Berry
Pachitte Chonmage Tatsujin 16: Pachinko Hissatsu Shigotonin III,27-05-2010,Hack Berry,Hack Berry
Pachitte Chonmage Tatsujin 2: CR Jurassic Park,06-02-2003,Hack Berry,Hack Berry
Pachitte Chonmage Tatsujin 3,17-04-2003,Hack Berry,Hack Berry
Pachitte Chonmage Tatsujin 4,29-05-2003,Hack Berry,Hack Berry
Pachitte Chonmage Tatsujin 5: CR Kamen Rider,15-04-2004,Hack Berry,Hack Berry
Pachitte Chonmage Tatsujin 8,04-08-2005,Hack Berry,Hack Berry
Pachitte Chonmage Tatsujin: CR Nettou Power Pro Kun,20-12-2001,Hack Berry,Hack Berry
Pacific Warriors II: Dogfight,01-10-2004,InterActive Vision Games,Midas Interactive Entertainment
Paddington Bear,22-11-2007,Atomic Planet Entertainment,Blast! Entertainment Ltd
Pai Chenjan,22-11-2001,Agenda,Agenda
Palais de Reine,18-10-2007,Kogado Studio,Interchannel
Pandora: Kimi no Namae o Boku wa Shiru,18-11-2010,Otomate,Idea Factory
Panel Quiz Attack 25,29-08-2002,DigiCube,DigiCube
Panic Palette,31-05-2007,Takuyo,Takuyo
Panzer Elite Action: Fields of Glory,14-07-2006,ZootFly,JoWooD Productions
Panzer Front Ausf.B,27-05-2004,Enterbrain,"EnterbrainJP, 505 Game StreetPAL"
Paparazzi•Simple 2000 Series Vol. 53: The Camera KozouJP,24-06-2004,HuneX,"D3 PublisherJP, 505 Game StreetEU"
Para Para Paradise,15-03-2001,Konami,Konami
PaRappa the Rapper 2,30-08-2001,NanaOn-Sha,Sony Computer Entertainment
Parfait: Chocolat Second Style,29-06-2006,Alchemist,Alchemist
Paris-Dakar Rally,07-09-2001,Broadsword Interactive,Acclaim Entertainment
Party Carnival•Simple 2000 Series Vol. 89: The Party Game 2JP,10-11-2005,HuneX,"D3 PublisherJP, Essential GamesEU"
Party Girls•Simple 2000 Series Vol. 63: The SuieitaikaiJP,30-09-2004,Tamsoft,"D3 PublisherJP, 505 Game StreetEU"
The Party Quiz: Akko ni Omakase•Simple 2000 Series Vol. 79: The Party Quiz: Akko ni OmakaseJP,20-10-2005,Tamsoft,D3 Publisher
The Party Unou Quiz•Simple 2000 Series Vol. 66: The Party Unou QuizJP,11-11-2004,IMJ Entertainment,D3 Publisher
Patisserie na Nyanko,22-09-2004,Pionesoft,Pionesoft
PDC World Championship Darts,01-12-2006,Mere Mortals,"Oxygen GamesEU, Red Ant EnterprisesAU"
PDC World Championship Darts 2008,25-01-2008,Oxygen Games,"Oxygen GamesPAL, O-GamesNA"
Perfect Ace 2: The Championships,15-07-2005,Aqua Pacific,Oxygen Games
Perfect Ace: Pro Tournament Tennis,04-07-2003,Aqua Pacific,Oxygen Games
Persona 3,13-07-2006,Atlus,"AtlusJP,KO,NA, KoeiPAL"
Persona 3 FES,19-04-2007,Atlus,Atlus
Persona 4,10-07-2008,Atlus,"AtlusJP,KO,NA, Square EnixPAL"
Petanque Pro,23-03-2007,Mere Mortals,Bigben Interactive
Peter Jackson's King Kong: The Official Game of the Movie,17-11-2005,Ubisoft Montpellier,Ubisoft
Peter Pan,07--2007,Phoenix Games,Phoenix Games
Petit Four,28-02-2008,Design Factory,Idea Factory
Petz: Catz 2,23-11-2007,Ubisoft Paris,Ubisoft
Petz: Dogz 2,23-11-2007,Ubisoft Paris,Ubisoft
Petz: Horsez 2•Alexandra Ledermann: The Stud in the ValleyFR•Pippa Funnell 2: Ranch RescueUK,25-10-2007,Ubisoft,Ubisoft
Phantasy Star Universe,31-08-2006,Sonic Team,Sega
Phantasy Star Universe: Ambition of the Illuminus (Expansion)•Phantasy Star Universe: Illuminas no YabouJP,27-09-2007,Sonic Team,Sega
Phantom Brave•Phantom Brave: 2-shūme Hajime MashitaJP,22-01-2004,Nippon Ichi Software,"Nippon Ichi SoftwareJP, NIS AmericaNA, KoeiEU"
Phantom: Phantom of Inferno,22-05-2003,PrincessSoft,PrincessSoft
Phase Paradox [ja],24-05-2001,Sony Computer Entertainment,Sony Computer Entertainment
Pia Carrot e Youkoso!! 3,27-03-2003,Alpha Unit,Interchannel
Pia Carrot e Youkoso!! G.O. Summer Fair,20-12-2007,Cocktail Soft,Piacci
Pia Carrot e Youkoso!! G.P. Gakuen Princess,22-01-2009,Piacci,Piacci
Pilot Down: Behind Enemy Lines,09-09-2005,Kuju Entertainment,Oxygen Games
Pilot ni Narou! 2,08-03-2001,Beluga Computer,Victor Interactive Software
Pimp My Ride,21-11-2006,Eutechnyx,Activision
Pimp My Ride: Street Racing,16-03-2009,Activision,Activision
Pinball•American ArcadeJP,07-09-2000,Astroll,"AstrollJP, Play It!EU"
Pinball Fun•Simple 2000 Series Vol. 26: The Pinball x 3JP,24-04-2003,HuneX,"D3 PublisherJP, 505 Game StreetEU"
Pinball Hall of Fame: The Gottlieb Collection•Gottlieb Pinball ClassicsEU,16-11-2004,FarSight Studios,"Crave EntertainmentNA, Play It!EU"
Pinball Hall of Fame: The Williams Collection,26-02-2008,FarSight Studios,Crave Entertainment
Pink Pong•Simple 2000 Ultimate Series Vol. 15: Love * Ping Pong!JP,11-12-2003,HuneX,"D3 PublisherJP, 505 Game StreetEU"
Pinocchio,08-12-2006,Phoenix Games,Phoenix Games
Pipe Mania,26-09-2008,Razorworks Studios,Empire Interactive
Pipo Saru 2001,05-07-2001,Japan Studio,Sony Computer Entertainment
Pirates of the Caribbean: At World's End,22-05-2007,Eurocom Entertainment Software,Disney Interactive Studios
Pirates of the Caribbean: The Legend of Jack Sparrow,28-06-2006,7 Studios,"Bethesda SoftworksNA, UbisoftEU"
Pirates: Legend of the Black Buccaneer,15-08-2006,WideScreen Games,"Valcon GamesNA, 10tacle StudiosEU"
Pirates: The Legend of Black Kat,17-02-2002,Westwood Studios,Electronic Arts
Pitfall: The Lost Expedition,18-02-2004,Edge of Reality,Activision
Piyo-Tan: Oyashiki Sennyū Daisakusen!,28-08-2008,Prototype,Prototype
Pizzicato Polka: Suisei Genya,17-06-2004,KID,KID
The Plan,31-03-2006,EKO Software,"GhostlightEU, Crave EntertainmentNA"
Planetarian: Chiisana Hoshi no Yume,24-08-2006,Key,Prototype
Plarail: Yume ga Ippai!,31-01-2002,Tomy,Tomy
Playboy: The Mansion,25-01-2005,Cyberlore Studios,"Arush EntertainmentNA, Groove GamesNA, UbisoftPAL"
Playwize Poker & Casino,24-11-2006,Bits Studios,505 Game Street
Plus Plum 2 Again,18-05-2006,Takuyo,Takuyo
Pochinya,28-10-2004,Aiky,Bandai
Poi! Hito Natsu no Keiken!?,17-07-2008,Design Factory,Idea Factory
Poinie's Poin,26-09-2002,Sony Computer Entertainment,Sony Computer Entertainment
Poker Masters,04-05-2005,Mere Mortals,Liquid Games
The Polar Express,02-11-2004,Blue Tongue Entertainment,THQ
Polaroid Pete•Gekibo 2JP,31-05-2001,Irem,"IremJP, Virgin InteractiveEU"
Police 24/7•The Keisatsukan: Shinjuku Cop 24 HoursJP,15-11-2001,Konami,Konami
Police Chase Down•Simple 2000 Ultimate Series Vol. 7: Saikyou! Shiro Biking – Security PoliceJP,24-04-2003,Tamsoft,"D3 PublisherJP, AgetecEU"
Pool Paradise•Archer Maclean's Pool ParadiseEU,02-04-2004,Awesome Developments,Ignition Entertainment
Pool Paradise: International Edition,07-07-2006,Conspiracy Entertainment,Ignition Entertainment
Pool Shark 2,12-11-2004,Blade Interactive,Zoo Digital Publishing
Pop'n Music 10,18-11-2004,Konami,Konami
Pop'n Music 11,21-07-2005,Konami,Konami
Pop'n Music 12 Iroha,02-03-2006,Konami,Konami
Pop'n Music 13 Carnival,28-09-2006,Konami,Konami
Pop'n Music 14 Fever!,12-07-2007,Konami,Konami
Pop'n Music 7,21-11-2002,Konami,Konami
Pop'n Music 8,03-07-2003,Konami,Konami
Pop'n Music 9,19-02-2004,Konami,Konami
Pop'n Music: Best Hits,27-02-2003,Konami,Konami
Pop'n Taisen Puzzle-Dama Online,04-03-2004,Konami,Konami
PopCap Hits! Vol. 1,15-11-2007,PopCap,PopCap
PopCap Hits! Vol. 2,15-07-2008,PopCap,PopCap
PoPoLoCrois: Hajimari no Bouken,20-06-2002,Sony Computer Entertainment,Sony Computer Entertainment
PoPoLoCrois: Tsuki no Okite no Bouken,18-03-2004,Sony Computer Entertainment,Sony Computer Entertainment
PopStar Guitar,28-10-2008,Broadsword Interactive,XS Games
Portal Runner,10-09-2001,3DO,3DO
Postman Pat,24-01-2008,The Code Monkeys,Blast! Entertainment Ltd
Power Drome•PowerdromeEU,15-06-2004,Argonaut Games,"Mud Duck ProductionsNA, Evolved GamesEU"
Power Fighters•Simple 2000 Series Vol. 60: The Tokusatsu Henshin HeroJP,02-09-2004,Daft,"D3 PublisherJP, 505 Game StreetEU"
Power Rangers: Dino Thunder,14-09-2004,Pacific Coast Power & Light,THQ
Power Rangers: Super Legends – 15th Anniversary•Power Rangers: Super LegendsPAL,06-11-2007,Artificial Mind and Movement,Disney Interactive Studios
