titles,developers
NHL 13,EA Canada
NHL 14,EA Canada
NHL 15,EA Canada
NHL 2K11,Visual Concepts
NFL Blitz,EA Tiburon
NHL Legacy Edition,EA Canada
NHL 2K7,Visual Concepts / Kush Games
NHL 2K8,Visual Concepts / Kush Games
NHL 2K9,Visual Concepts
NHL 2K10,Visual Concepts
Nier,Cavia
Ni no Kuni: Wrath of the White Witch,"Level-5, Studio Ghibli"
Nights into Dreams...,Sonic Team
Ninja Gaiden Sigma,Team Ninja
Ninja Gaiden Sigma 2,Team Ninja
Ninja Gaiden 3,Team Ninja
Ninja Gaiden 3: Razor's Edge,Team Ninja
Nioh,Team Ninja
Nitroplus Blasterz: Heroines Infinite Duel,Nitroplus
Nobunaga no Yabou Online: Shinsei no Shou,Koei
Nobunaga no Yabou: Souzou,Koei
Nobunaga no Yabou: Tendou,Koei
Nobunaga no Yabou Online: Yuushi no Shou,Koei Tecmo
Noby Noby Boy[296],Bandai Namco Entertainment
Nova-111,Curve Studios
Novastrike,Tiki Games
No More Heroes: Heroes' Paradise,feelplus / Grasshopper Manufacture
NPPL Championship Paintball 2009,Sand Grain Studios
Nucleus,Kuju Entertainment
Numblast/Qruton,Japan Studio
Nurarihyon no Mago: Hyakki Ryouran Taisen,Arc System Works
Obut Pétanque,Kylotonn Entertainment
Obut Pétanque 2,Kylotonn Entertainment
Octodad: Dadliest Catch,"Young Horses, Inc."
Oddworld: Munch's Oddysee HD,Just Add Water / Oddworld Inhabitants
Oddworld: New 'n' Tasty!,Just Add Water / Oddworld Inhabitants
Oddworld: Stranger's Wrath HD,Just Add Water
Of Orcs and Men,Cyanide
Okabu,HandCircus
Okami: Zekkeiban HD Remaster,Capcom
OlliOlli,Roll7
Omega Quintet,Galapagos RPG
"One Piece: Pirate Warriors
•One Piece: Kaizoku MusouJP","Tecmo Koei, Omega Force"
One Piece: Pirate Warriors 2,"Tecmo Koei, Omega Force"
One Piece: Pirate Warriors 3,"Tecmo Koei, Omega Force"
One Piece: Unlimited World Red,Ganbarion
Oneechanbara Z Kagura: with NoNoNo!,D3 Publisher
Operation Creature Feature,"London Studio, Playlogic Entertainment"
Operation Flashpoint: Dragon Rising,Codemasters
Operation Flashpoint: Red River,Codemasters
The Orange Box,EA UK / Valve
Onimusha Soul,Capcom
Odin Sphere Leifthrasir,VanillaWare
Orc Attack: Flatulent Rebellion,Casual Brothers Games
Order Up!,SuperVillain Studios
Ore no Imouto ga Konnani Kawaii Wake ga Nai Happy End HD Complete Box,Bandai Namco Games
Oretachi Ni Tsubasa Wa Nai: Under the Innocent Sky,5pb.
Outland,Housemarque
OutRun Online Arcade,Sumo Digital
The Outsider,Frontier Developments
Overlord: Raising Hell,4J Studios / Triumph Studios
Overlord II,Triumph Studios
Pac-Man and the Ghostly Adventures,Bandai Namco Games
Pac-Man and the Ghostly Adventures 2,Bandai Namco Games
Pac-Man Championship Edition DX,Bandai Namco Entertainment
"Pac-Man Museum (Ms. Pac-Man, Pac & Pal, Pac-Attack, Pac-Land, Pac-Man, Pac-Man Arrangement, Pac-Man Battle Royale, Pac-Man Championship Edition, Pac-Mania, Super Pac-Man)",Bandai Namco Entertainment
Pachi Para 15 ~Super Sea in Okinawa 2,Irem
PachiPara 16: Gingira Paradise 2,Irem
Pachi Para 17 ~New Sea Story With Agnes Lum,Irem
PachiPara DL Hyper Sea Story In Karibu,Sanyo Bussan
Pachislot To Heart 2,Leaf
Pacific Rim: The Video Game,Yuke's Co. Ltd.
Page Chronica,Red Hare Studios
Pain,Idol Minds
Painkiller: Hell and Damnation,Nordic Games
Papo & Yo,Minority
Paranormal Pursuit: The Gifted One,Alawar
PAYDAY 2,Starbreeze Studios
Peggle,PopCap Games
The Penguins of Madagascar: Dr. Blowhole Returns – Again!,Griptonite Games
Penny Arcade Adventures: On the Rain-Slick Precipice of Darkness Episode One,Hothead Games
Penny Arcade Adventures: On the Rain-Slick Precipice of Darkness Episode Two,Hothead Games
Persona 4: Arena,Arc System Works
Persona 4 Arena Ultimax,Arc System Works
Persona 5,Atlus
Phantom Breaker: Extra,5pb.
Phineas and Ferb: Across the 2nd Dimension,High Impact Games
Pictionary: Ultimate Edition,Page 44 Studios
Pid,Might and Delight
Pier Solar HD,WaterMelon
The Pinball Arcade,FarSight Studios
Pinball Hall of Fame: The Williams Collection,FarSight Studios
Pinballistik,Creat Studios
Pirates of the Caribbean: Armada of the Damned,Propaganda Games
Pirates of the Caribbean: At World's End,Eurocom
PixelJunk 3 in 1 Pack,Q-Games
PixelJunk 4am,Q-Games
PixelJunk Eden,Q-Games
PixelJunk Monsters,Q-Games
PixelJunk Racers,Q-Games
PixelJunk Racers 2nd Lap,Q-Games
PixelJunk Shooter,Q-Games
PixelJunk Shooter 2,Q-Games
PixelJunk SideScroller,Q-Games
Piyotama,Japan Studio
Planet 51,Pyro Studios
Planet Minigolf,Zen Studios
Planets Under Attack,Targem Games
Plants vs Zombies,Popcap
Plants vs. Zombies: Garden Warfare,Popcap
PlayStation All-Stars Battle Royale,SuperBot Entertainment / Santa Monica Studio / Bluepoint Games
PlayStation Home,London Studio
PlayStation Move Heroes•Gachinko HeroesJP,Nihilistic Software
Poker Night 2,Telltale Games
Polar Panic,Eiconic Games
Pool Nation,Cherry Pop Games
Poncotsu Roman Daikatsugeki Bumpy Trot 2,Irem
Port Royale 3: Pirates & Merchants,Gaming Minds Studios
Portal 2,Valve
Possession,Blitz Games / Volatile Games
Postal III,Running with Scissors
Power Gig: Rise of the SixString,Seven45 Studios
Power Pro Stadium,Konami
PowerUp Forever,Blitz Arcade
Prey 2,Human Head Studios
Premier Manager,Urbanscan
Press Your Luck,Virtuos
Primal Carnage,Lukewarm Media
Prince of Persia,Ubisoft Montreal
Prince of Persia Classic,Gameloft
Prince of Persia: The Forgotten Sands,Ubisoft Montreal
Prince of Persia Trilogy,Ubisoft Montreal
Prison Break: The Conspiracy,ZootFly
PES 2008: Pro Evolution Soccer,Konami
PES 2009: Pro Evolution Soccer,Konami
PES 2010: Pro Evolution Soccer,Konami
PES 2011: Pro Evolution Soccer,Konami
PES 2012: Pro Evolution Soccer,Konami
PES 2013: Pro Evolution Soccer,Konami
PES 2014: Pro Evolution Soccer,Konami
PES 2015: Pro Evolution Soccer,Konami
PES 2016: Pro Evolution Soccer,Konami
PES 2017: Pro Evolution Soccer,Konami
PES 2018: Pro Evolution Soccer,Konami
Pro Foosball,Quirkat
Professional Baseball Spirits 4,Konami
Professional Baseball Spirits 5,Konami
Professional Baseball Spirits 6,Konami
Professional Baseball Spirits 2010,Konami
Professional Baseball Spirits 2011,Konami
Professional Baseball Spirits 2012,Konami
Professional Baseball Spirits 2013,Konami
Professional Baseball Spirits 2014,Konami
Professional Baseball Spirits 2015,Konami
Project CARS',Slightly Mad Studios
Proteus,Ed Key & David Kanaga
Prototype,Radical Entertainment
Prototype 2,Radical Entertainment
Psych Yourself,Creat Studios
Puddle,Neko Entertainment
Puppeteer,Japan Studio
Pure,Black Rock Studios
Pure Chess,VooFoo Studios
Pure Football,Ubisoft Vancouver
Puss in Boots,Blitz Games
Putty Squad,System 3
Puyo Puyo Tetris,SEGA
Puzzle Agent,Telltale Games
Puzzle Chronicles,Infinite Interactive
Puzzle Dimension,Doctor Entertainment
Puzzle Quest: Challenge of the Warlords – Revenge of the Plague Lord,Infinite Interactive
Puzzle Quest: Galactrix,Infinite Interactive
Puzzlegeddon,Pieces Interactive
Q*Bert,Sony Online Entertainment
Q*bert Rebooted,Loot Interactive
Q.U.B.E. Director's Cut,Toxic Games
Qlione Evolve,Rockin' Android
Quantum Conundrum,Airtight Games
Quantum Theory,Team Tachyon
QuickDraw,Greenfly Studios
Quiplash,Jackbox Games
Quizball Goal,Pixel Tales
R-Type Dimensions (R-Type & R-Type II),Tozai Games
R.B.I. Baseball 14,MLBAM
R.I.P.D. Rest in Peace Department the Game,Saber Interactive
R.U.S.E.,Eugen Systems
Ra.One: The Game,Trine Games
Race Driver: GRID,Codemasters
Race Driver: GRID 2,Codemasters
Race the Sun,Flippfly
Racquet Sports,Asobo Studio
Rag Doll Kung Fu: Fists of Plastic,Tarsier Studios
Rage,id Software
Ragnarok Odyssey ACE,Game Arts
Railfan: Chicago Transit Authority Brown Line,Ongakukan / Taito
Railfan: Taiwan High Speed Rail,Ongakukan / Actainment
Rain,Sony Computer Entertainment
Rain in Rio,Red Dingo Games
Rainbow Moon,SideQuest Studios
Rainbow Skies,SideQuest Studios
Rambo: The Video Game,Teyon
Rampage World Tour,Sony Online Entertainment
Rampart,Sony Online Entertainment
Rango,id Software
Rapala Fishing Frenzy 2009,FUN Labs
Rapala Pro Bass Fishing,Activision
Rat Race,Super-Ego Games
Ratatouille,Heavy Iron Studios
Ratchet & Clank Future: A Crack in Time,Insomniac Games
Ratchet & Clank: All 4 One,Insomniac Games
Ratchet & Clank: Full Frontal Assault•Ratchet and Clank: Q-ForceEU,Insomniac Games
Ratchet & Clank: Into the Nexus,Insomniac Games
Ratchet & Clank Future: Quest for Booty,Insomniac Games
Ratchet & Clank Future: Tools of Destruction,Insomniac Games
Ratchet & Clank Collection,Insomniac Games
Rayman Origins,Ubisoft Montpellier
Rayman Legends,Ubisoft Montpellier
RayStorm HD,Taito
Real Steel,Yuke's Co. Ltd.
Realms of Ancient War,Wizarbox
Recoil: Retrograd,ZeitGuyz
Record of Agarest War,Idea Factory
Record of Agarest War Zero,Idea Factory
Record of Agarest War 2,Idea Factory
Red Baron Arcade,Stainless Studios
Red Dead Redemption,Rockstar San Diego
Red Faction: Armageddon,Volition
Red Faction: Battlegrounds,THQ Digital Warrington
Red Faction: Guerrilla,Volition
Red Johnson's Chronicles,Lexis Numérique
Red Johnson's Chronicles – One Against All,Lexis Numérique
Remember Me,Dontnod Entertainment
Renegade Ops,Avalanche Studios
Resident Evil 4 HD,Capcom
Resident Evil 5,Capcom
Resident Evil 6,Capcom
Resident Evil 6 Anthology Edition,Capcom
Resident Evil Code: Veronica X HD,Capcom
Resident Evil: Operation Raccoon City,Slant Six Games / Capcom
Resident Evil: Revelations,Capcom
Resident Evil: Revelations 2,Capcom
Resident Evil: HD Remaster,Capcom
Resident Evil 0: HD Remaster,Capcom
Resident Evil: The Darkside Chronicles,Capcom
Resident Evil: The Umbrella Chronicles,Capcom
Resistance: Fall of Man,Insomniac Games
Resistance 2,Insomniac Games
Resistance 3,Insomniac Games
Resogun,Climax Studios
Resonance of Fate,tri-Ace
Retro City Rampage/Retro City Rampage: DX,Vblank Entertainment
Retro/Grade,24 Caret Games
Revenant Saga,Kemco
Revenge of the Wounded Dragons,Wanako Games
Rewrite,Key / Prototype
Ricochet HD,TikGames
Ride,Milestone srl
Ride to Hell: Retribution,Deep Silver
Ridge Racer 7,Namco Bandai
Ridge Racer Unbounded,Bugbear Entertainment
Rinne no Lagrange: Kamogawa Days Game & OVA Hybrid Disc,Namco Bandai
Rio [pt],THQ
Rise of the Argonauts,Liquid Entertainment
Risen 2: Dark Waters,Piranha Bytes
Risen 3: Titan Lords,Piranha Bytes
Risk,Zoë Mode
Risk: Factions,Stainless Games
Risk: Urban Assault,Zoë Mode
Robot Rescue Revolution,Teyon
Robotics;Notes,5pb. / Nitroplus
Rochard,Recoil Games
Rock Band,Harmonix Music Systems
Rock Band 2,Harmonix Music Systems
Rock Band 3,Harmonix Music Systems
Rock Band Blitz,Harmonix
Rock Band Classic Rock Track Pack,Harmonix Music Systems
Rock Band Country Track Pack,Harmonix Music Systems
Rock Band Country Track Pack 2,Harmonix Music Systems
Rock Band Metal Track Pack,Harmonix Music Systems
Rock Band Track Pack Volume 2,Harmonix Music Systems
Rock Band: Japan,Harmonix Music Systems / Q Entertainment
Rock of Ages,ACE Team
Rock of the Dead,Epicenter Studios
Rock Revolution,Zoë Mode
Rocket Knight,Climax Studios
Rocketbirds: Hardboiled Chicken,Ratloop
Rocketmen: Axis of Evil,A.C.R.O.N.Y.M. Games
Rocksmith,Ubisoft Montreal
Rocksmith 2014,Ubisoft San Francisco
Rogue Legacy,Cellar Door Games
Rogue Warrior,Zombie Studios / Rebellion Developments
Root Double: Before Crime * After Days Xtend edition,Yeti
Rotastic,Focus Home Interactive
Rozen Maiden: Wechseln Sie Welt ab,5pb.
Rugby League Live,Big Ant Studios
Rugby League Live 2,Big Ant Studios
Rugby League Live 3,Big Ant Studios
Rugby World Cup 2011,Big Ant Studios
Runner2: Future Legend of Rhythm Alien,Gaijin Games
Rui Ha Tomo Wo Yobu,5pb.
Rune Factory: Tides of Destiny,Neverland Co.
Rush'n Attack: Ex-Patriot,Vatra Games
Rust Buccaneers,Pixolane
Ryoufuu no Melt: Days in the Sanctuary,GN Software
Ryū ga Gotoku 1&2 HD edition,Sega
Ryū ga Gotoku 5,Sega
Ryū ga Gotoku Ishin!,Sega
Ryū ga Gotoku Kenzan!,Amusement Vision
Ryū ga Gotoku Kiwami,Sega
Ryū ga Gotoku Zero: Chikai no Basho,Sega
S.T.A.L.K.E.R. 2,GSC Game World
The Saboteur,Pandemic Studios
Sackboy's Prehistoric Moves,Media MoleculeSupermassive Games
Sacra Terra: Kiss of Death,Alawar
Sacred 2: Fallen Angel,Ascaron Entertainment
Sacred 3,Keen Games
Sacred Citadel,Southend Interactive
Saikyo Shogi Gekisashi 13,Mynavi
Saint Seiya: Brave Soldiers,Dimps Corporation
Saint Seiya: Sanctuary Battle,Dimps Corporation
Saint Seiya: Soldiers' Soul,Dimps Corporation
Saints Row 2,Volition
Saints Row: The Third,Volition
Saints Row IV,Volition
Saints Row Double Pack,Volition
Sakatsuku: Pro Soccer Club o Tsukurou!,Sega
Sakigake!! Otoko Juku: Nihonyo Korega Otoko Dearu,Bandai Namco Games
Sam & Max Beyond Time and Space,Telltale Games
Sam & Max: The Devil's Playhouse,Telltale Games
San Goku Shi 12,Koei
San Goku Shi 13,Koei
Sanctum 2,Coffee Stain Studios
Sangokushi 12 Taisenban,Koei Tecmo
Savage Moon,FluffyLogic
Saw,Zombie Studios
Saw II,Zombie Studios
SBK-08: Superbike World Championship,Milestone
SBK-09: Superbike World Championship,Milestone
SBK 2011: Superbike World Championship,Milestone
SBK Generations,Milestone
SBK X: Superbike World Championship,Milestone
Scarygirl,TikGames
Scene It? Bright Lights! Big Screen!,Artificial Mind and Movement
Scene It? Movie Night,Sarbakan
Schlag den Raab: Das 2. Spiel,Sproing
Schlag den Raab: Das 3. Spiel,Sproing
SCORE International Baja 1000,Left Field Productions
Scott Pilgrim vs. the World: The Game,Ubisoft Montreal
Scourge: Outbreak,Tragnarion Studios
Scratch: The Ultimate DJ,7 Studios / Commotion Interactive / Bedlam Games
Sega Golf Club,Sega
Sega Bass Fishing,Sega
Sega Rally Online Arcade,Sega
Sega Rally Revo,Sega Racing Studio
Sega Superstars Tennis,Sumo Digital
Sekai Saikyou Ginsei Igo: Hybrid Monte Carlo,SilverStar
Sekai Saikyou Ginsei Shogi: Fuuum Ryouko Raiden,SilverStar
Sengoku Basara HD Collection,Capcom
Sengoku Basara: Samurai Heroes,Capcom
Sengoku Basara 3,Capcom
Sengoku Basara 4,Capcom
Sengoku BASARA Sanada Yukimura-den,Capcom
Sengoku Hime: Senkou no Taika – Akatsuki no Haryuu,Ge-Sen18
Sengoku Hime 3: Tenka o Kirisaku Hikari to Kage,Ge-Sen18
Sengoku Musou 3 Empires,Capcom
Serious Sam 3: BFE,Croteam
Severity,Escalation Studios
ShadowClan,Tiger Hill Entertainment
Shadows of the Damned,Grasshopper Manufacture
Shakedown: Hawaii,Vblank Entertainment
Shake Spears!,Alawar
Shank,Klei Entertainment
Shank 2,Klei Entertainment
Shaq Fu: A Legend Reborn,"Saber Interactive, Big Deez Productions"
"Sharin no Kuni, Himawari no Shoujo",Akabeisoft2
Shatter[113],Sidhe Interactive
Shaun White Skateboarding,Ubisoft Montreal
Shaun White Snowboarding,Ubisoft Montreal
Shellshock 2: Blood Trails,Rebellion Developments
Sherlock Holmes: Crimes & Punishments,Frogwares
Shift 2: Unleashed,Slightly Mad Studios
Shiki-Tei,Japan Studio
Shin Hayarigami,Nippon Ichi
Shin Hayarigami 2,Nippon Ichi
Shinken de Watashi ni Koi Shinasai! R,Minato Station
Shining Resonance,Sega
Shin Kamaitachi no Yoru: 11 Hitome no Suspect,ChunSoft
Shin Toudai Shogi,Unknown
Shoot Many Robots,Demiurge Studios
Short Peace: Ranko Tsukigime's Longest Day,Grasshopper Manufacture
Shovel Knight,Yacht Club Games
Shrek Forever After,XPEC
Shutsugeki!! Otometachi no Senjou 2: Yuukoku o Kakeru Koujo no Tsubasa,SystemSoft Alpha
Sideway: New York,Playbrains
Silent Hill: Downpour,Vatra Games
Silent Hill HD Collection,Hijinx Studios
Silent Hill Homecoming,Double Helix Games / Konami Digital Entertainment
The Simpsons Game,EA Redwood Shores
The Sims 3,Maxis / Edge of Reality
The Sims 3: Pets,Maxis
Sine Mora,Grasshopper Manufacture
SingStar,London Studio
SingStar ABBA,London Studio
SingStar Afrikaanse Treffers,Sony London Studios
SingStar Apres-Ski Party 2,London Studio
SingStar Back to the 80s,London Studio
SingStar Chartbreaker,London Studio
SingStar Chart Hits,London Studio
SingStar Dance,London Studio
SingStar Danish Hits,London Studio
SingStar Finnish Hits,London Studio
SingStar Frozen,London Studio
SingStar Fussballhits,London Studio
SingStar Grandes Éxitos,London Studio
SingStar Guitar,London Studio
SingStar Latino,London Studio
Singstar Made in Germany,London Studio
SingStar Mallorca Party,London Studio
SingStar Mecano,London Studio
SingStar: Morangos com Acucar,London Studio
SingStar Motown,London Studio
SingStar Patito Feo,London Studio
SingStar: Polskie Hity,London Studio
SingStar Pop Edition,London Studio
SingStar Portugal Hits,London Studio
SingStar Queen,London Studio
SingStar Studio 100,London Studio
SingStar SuomiHuiput,London Studio
SingStar Take That,London Studio
SingStar Ultimate Party,London Studio
SingStar Vol. 2,London Studio
SingStar Vol. 3: Party Edition,London Studio
SingStar Vasco,London Studio
SingStar: The Wiggles,London Studio
Singularity,Raven Software
Siralim,Thylacine Studios
Siren: Blood Curse,Japan Studio
Six Days in Fallujah,Atomic Games
Skate,EA Black Box
Skate 2,EA Black Box
Skate 3,EA Black Box
Ski-Doo: Snowmobile Challenge,ColdWood Interactive
Skullgirls/Skullgirls Encore,Lab Zero Games
Skydive: Proximity Flight,Gaijin Entertainment
Sky Diving or Go! Sports Skydiving,Bergsala Lightweight
Sky Fighter,Creat Studios
Sky Force Anniversary,Infinite Dreams Inc.
Skydive: Proximity Flight,Gaijin Entertainment
SkyDrift,Digital Reality
Skylanders: Spyro's Adventure,Toys for Bob
Skylanders: Giants,Toys for Bob
Skylanders: Imaginators,Vicarious Visions
Skylanders: Swap Force,Vicarious Visions
Skylanders: SuperChargers,Vicarious Visions
Skylanders: Trap Team,Vicarious Visions
Slam Bolt Scrappers,Fire Hose Games
Sleeping Dogs,United Front Games
Slender: The Arrival,Blue Isle Studios
Slotter Chou Mania: Antonio Inoki ga Genki ni Suru Pachi-Slot Ki,Dorart
The Sly Collection,Sucker Punch Productions / Sanzaru Games
Sly Cooper: Thieves in Time,Sanzaru Games / Sony Computer Entertainment
Smash Cars,Creat Studios
The Smurfs 2,Ubisoft
Snakeball,Gamoola Soft
Snark Busters: High Society,Big Fish Games
Sniper Elite V2,Rebellion
Sniper Elite III,Rebellion
Sniper: Ghost Warrior,City Interactive
Sniper: Ghost Warrior 2,City Interactive
Snipers,Hydravision Entertainment
Snowy: Treasure Hunter,Alawar
SOCOM 4: U.S. Navy SEALs,Zipper Interactive
SOCOM: U.S. Navy SEALs Confrontation,Slant Six Games
Soldier of Fortune: Payback,Cauldron HQ
Sonic Adventure,Sonic Team
Sonic Adventure 2,Sonic Team
Sonic Generations,Sonic Team
Sonic & Sega All-Stars Racing,Sumo Digital
Sonic & All-Stars Racing Transformed,Sumo Digital
Sonic the Hedgehog,Sonic Team
Sonic the Hedgehog 2,Sonic Team
Sonic the Hedgehog 4: Episode I,Sega
Sonic the Hedgehog 4: Episode II,Sega
Sonic CD,Sega
Sonic the Fighters,Sega
Sonic's Ultimate Genesis Collection,Backbone Entertainment
Sonic Unleashed,Sonic Team
Sorcery•Lord of SorceryJP,The Workshop
Soulcalibur: Lost Swords,Namco
Soulcalibur II HD Online,Namco
Soulcalibur IV,Project Soul
Soulcalibur V,Project Soul
Soulcalibur: Lost Swords,Project Soul
South Park: The Stick of Truth,Obsidian Entertainment / South Park Digital Studios
Space Ace,Digital Leisure
Space Channel 5: Part 2,Sega
Space Hulk,Full Control
Space Invaders Infinity Gene,Taito
Spare Parts,EA Bright Light
Sparkle 2,10tons
Sparkle Unleashed,10tons
Spartacus Legends,Kung Fu Factory
Spec Ops: The Line,Yager Development
Spelunker Black,Irem
"Spelunker Collection (Spelunker Classic, Spelunker Console, Spelunker Arcade, Spelunker II)",Tozai Games
Spelunker HD,Irem
Spelunky,Mossmouth
Spider-Man 3,Treyarch
Spider-Man: Edge of Time,Beenox
Spider-Man: Shattered Dimensions,Beenox
Spider-Man: Web of Shadows,Treyarch / Shaba Games
Splatterhouse,BottleRocket Entertainment / Namco Bandai Games
Splice,Cipher Prime
"Split/Second: Velocity
•Split/SecondNA",Black Rock Studio
SpongeBob SquarePants: Plankton's Robotic Revenge,Behaviour Interactive
Sports Champions,Zindagi Games
Sports Champions 2,Zindagi Games
Sportsfriends,Die Gute Fabrik
SSX,Electronic Arts
Stacking,Double Fine Productions
Star Ocean: The Last Hope International,tri-Ace
Star Ocean: Integrity and Faithlessness,tri-Ace
Star Ocean: The Second Story,tri-Ace
Star Raiders,Incinerator Studios
Star Trek,Digital Extremes
Star Trek DAC,Naked Sky Entertainment
Star Wars: The Clone Wars – Republic Heroes,Krome Studios
Star Wars: The Force Unleashed,LucasArts
Star Wars: The Force Unleashed II,LucasArts
Star Wars Pinball,Zen Studios
StarDrone,Beatshapers
Starhawk,LightBox Interactive
Starlight Inception,Escape Hatch Entertainment
Start the Party,Supermassive Games
Start the Party! Save the World,Supermassive Games
Starwhal,Breakfall
Stealth Inc: A Clone in the Dark,Curve Studios
Stealth Inc 2: A Game of Clones,Curve Studios
Steambot Chronicles 2,Irem
Steins;Gate,"5pb., Nitroplus"
Steins;Gate: Darling of Loving Vows,5pb.
Steins;Gate: Linear Bounded Phenogram,5pb.
Steins;Gate 0,5pb.
Steredenn,Pixelnest Studio
Stick It to the Man!,Zoink!
Storm,IndiePub
Stormrise,The Creative Assembly
Street Fighter III: 3rd Strike Online Edition,Capcom
Street Fighter IV,Capcom / Dimps
Street Fighter X Tekken,Capcom / Namco
Street Rod,UIG
Streets of Rage 2,Sega
Strength of the Sword 3,Ivent Games
Strider (2014 video game),Capcom
Strong Bad's Cool Game for Attractive People,Telltale Games
Stuntman: Ignition,Paradigm Entertainment
Suigetsu Ni,GN Software
Summer Stars 2012,Maximum Games
Summer Challenge: Athletics Tournament,PQube
Guillermo Del Toro's Sundown,Terminal Reality
SuperCar Challenge,Eutechnyx
Super Hang-On,Sega
Super Hero Generation,Bandai Namco
Super Heroine Chronicle,Bandai Namco Games
Super Mega Baseball,Metalhead Software
Super Motherload,XGen Studios
Super Puzzle Fighter II Turbo HD Remix,Backbone Entertainment
Super Robot Taisen OG Infinite Battle,Bandai Namco
Super Robot Wars OG: The Moon Dwellers,Bandai Namco
Super Robot Taisen OG Saga: Masou Kishin F Coffin of The End,Bandai Namco
Super Robot Taisen OG Saga: Masou Kishin III – Pride of Justice,Bandai Namco
Super Robot Taisen Original Generations,Bandai Namco
Super Rub 'a' Dub[240],Sumo Digital
Superstars V8 Racing,Milestone
Super Stardust HD,Housemarque
Super Street Fighter II Turbo HD Remix,Backbone Entertainment
Super Street Fighter IV,Capcom / Dimps
Super Street Fighter IV: Arcade Edition,Capcom / Dimps
Superfrog HD,Team17
Supersonic Acrobatic Rocket-Powered Battle-Cars,Psyonix
Supremacy MMA,Kung Fu Factory
Surf's Up,Ubisoft Montreal
Suzumiya Haruhi no Tsuisou,Bandai Namco Games
Swarm,Hothead Games
Switchball,Atomic Elbow
Swords & Soldiers,Ronimo Games
Sword Art Online: Lost Song,ArtDink
Syberia,Microïds
Syndicate,Starbreeze Studios
Söldner-X: Himmelsstürmer,SideQuest Studios
Söldner-X 2: Final Prototype,SideQuest Studios
Tabletop Cricket,Big Ant Studios
"Tacchi, Shiyo! Love Application",Compile
"Taiheiyou no Arashi: Senkan Yamato, Akatsuki ni Shutsugekisu",System Soft
Tales from Space: About a Blob,DrinkBox Studios
Tales from Space: Mutant Blobs Attack,DrinkBox Studios
Tales from the Borderlands,Telltale Games
Tales of Berseria,Namco Tales Studio
Tales of Graces ƒ,Namco Tales Studio
Tales of Monkey Island,Telltale Games
Tales of Symphonia Unisonant Pack,Namco Bandai Games
Tales of Vesperia,Namco Tales Studio
Tales of Xillia,Namco Tales Studio
Tales of Xillia 2,Namco Bandai Games
Tales of Zestiria,Namco Bandai Games
Tears to Tiara: Earth's Wreath,Aquaplus / Leaf
Tears to Tiara Side Story: Mystery of Avalon,Aquaplus
Tears to Tiara II: Heir of the Overlord,Aquaplus
Tecmo Bowl Throwback,Tecmo
Teenage Mutant Ninja Turtles: Danger of the Ooze,WayForward Technologies
Teenage Mutant Ninja Turtles: Mutants in Manhattan,PlatinumGames
Teenage Mutant Ninja Turtles: Out of the Shadows,Red Fly Studio
Teenage Mutant Ninja Turtles: Turtles in Time Re-Shelled,Ubisoft Singapore
Tekken 5: Dark Resurrection[268],Namco
Tekken 6,Namco Bandai
Tekken Hybrid,Namco
Tekken Revolution,Namco Bandai Games
Tekken Tag Tournament 2,Namco
Tenchou no Igo,NCS
Tennis in the Face,10tons
Terminator Salvation,GRIN / Halcyon Games
Terraria,Re-Logic
TerRover,Creat Studios
Teslagrad,Slightly Mad Studios
Test Drive Ferrari Legends,Slightly Mad Studios
Test Drive Unlimited 2,Eden Games
TestYourself: Psychology,Creat Studios
Tetris HD,EA Mobile
Texas Cheat 'em,Wideload Games
The Baconing,Hothead Games
The Bigs,Blue Castle Games
The Bigs 2,Blue Castle Games
The Bit.Trip,Choice Provisions
The Bluecoats: North vs South,Anuman
The Bourne Conspiracy,High Moon Studios
The Bridge,The Quantum Astrophysicists Guild
The Bureau: XCOM Declassified,2k Marin
The Cave,Double Fine Productions
The Chronicles of Narnia: Prince Caspian,Traveller's Tales
The Chronicles of Riddick: Assault on Dark Athena,Starbreeze Studios / Tigon Studios
The Club,Bizarre Creations
The Cursed Crusade,Kylotonn Entertainment
The Darkness,Starbreeze Studios
The Darkness II,Digital Extremes
The Evil Within,Tango Gameworks
The Expendables 2 Video Game,Ubisoft
The Fancy Pants Adventures,Borne Games
The Hole Story,Girls Make Games
The Idolmaster 2,Namco
The Idolmaster One For All,Bandai Namco Games
"The Jackbox Party Pack (Drawful, Fibbage XL, Lie Swatter, Word Spud, You Don't Know Jack 2015)",Jackbox Games
"The Jackbox Party Pack 2 (Bidiots, Bomb Corp., Earwax, Fibbage 2, Quiplash XL)",Jackbox Games
The Last Bounty Hunter,Digital Leisure
The Last Guy,Sony Computer Entertainment Japan
The Legend of Korra,PlatinumGames
The Mahjong: Tsuushin Taikyoku Kinoudzuke,D3 Publisher
The Misshitsu Kara no Dasshutsu,D3 Publisher
The Misshitsu Kara no Dasshutsu ~Tsukiyo no Manshon Hen~,D3 Publisher
The Price Is Right,Virtuos
The Price Is Right: Decades,Ludia
The Punisher: No Mercy,Zen Studios
The Raven: Legacy of a Master Thief,King Art Games
The Revenge of Shinobi,Sega
The Shoot,Cohort Studios
The Simpsons Arcade Game,Konami
The Testament of Sherlock Holmes,Frogwares
The Swapper,Facepalm Games
The Swindle,Size Five Games
The Treasures of Montezuma 4,Smartphone Labs
The UnderGarden,Artech Studios
They,Metropolis Software
Thexder Neo,Square Enix
